City,Date,Electricity Consumption,Source,Granularity
New York,2023-12-01,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-02,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-03,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-04,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-05,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-06,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-07,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-08,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-09,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-10,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-11,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-12,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-13,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-14,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-15,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-16,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-17,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-18,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-19,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-20,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-21,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-22,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-23,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-24,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-25,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-26,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-27,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-28,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-29,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-30,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-12-31,11552481650.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-01,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-02,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-03,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-04,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-05,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-06,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-07,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-08,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-09,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-10,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-11,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-12,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-13,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-14,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-15,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-16,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-17,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-18,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-19,11020940300.0,eia-monthly-expanded,monthly_repeated
New York,2023-11-20,11020940300.0,eia-monthly-expanded,monthly_repeated
